RuleName,Description,Severity,Query Frequency,Query Period,Req. modification,Rule ID,Type Of Rule,SOC Status,Scope,LastUpdate
Active Directory Certificate Services,Detections for monitoring events and statuses of Certification Authorities (CA) in Active Directory environments.,,,,,,,,Signpost,2024-02-18
Active Directory Federation Services,Detections for monitoring federated logins and securing Active Directory environments.,,,,,,,,Signpost,2023-03-16
Active Directory reports,Detections for monitoring events and activities in Active Directory reports.,,,,,,,,Signpost,2025-03-25
Azure Activity,Detections for monitoring activities and changes in Azure services and environments.,,,,,,,,Signpost,2026-06-18
Azure DevOps,Detections for monitoring activities and changes in Azure DevOps projects and teams.,,,,,,,,Signpost,2023-08-07
Azure Key Vault,Detections for monitoring access and changes in Azure Key Vault.,,,,,,,,Signpost,2023-04-27
Business Central,Detections for monitoring events and activities in Business Central app.,,,,,,,,Signpost,2025-07-17
Fortinet,Detections for monitoring events and statuses of Fortinet devices.,,,,,,,,Signpost,2026-04-08
Google Workspace,Detections for monitoring events and activities of Google Workspace (formerly G Suite) environmnets.,,,,,,,,Signpost,2025-06-06
Lepide,Detections for monitoring events and activities in environments with Lepide auditing tools.,,,,,,,,Signpost,2023-03-16
Microsoft 365 Copilot,Detections for monitoring events and activities in Microsoft 365 Copilot.,,,,,,,,Signpost,2026-06-11
Microsoft Defender for Cloud,Detections for monitoring threats and events in cloud environments with Microsoft Defender.,,,,,,,,Signpost,2023-06-07
Microsoft Defender XDR,Detections for monitoring threats and events in endpoints with Microsoft Defender XDR.,,,,,,,,Signpost,2026-06-08
Microsoft Entra ID,"Detections for monitoring logins, access management, and changes in Microsoft Entra ID ( previously known as Azure AD).",,,,,,,,Signpost,2026-07-16
Microsoft Purview Information Protection,Detections for monitoring access and data protection in Microsoft Purview.,,,,,,,,Signpost,2023-03-16
Microsoft VPN,Detections for monitoring logins and activities in Microsoft VPN environments.,,,,,,,,Signpost,2023-03-16
Office Activity,Detections for monitoring activities and changes in Office applications and services.,,,,,,,,Signpost,2026-07-27
System Center Configuration Manager,Detections for monitoring statuses and events in System Center Configuration Manager environments.,,,,,,,,Signpost,2023-03-16
Sentinel,Detections for monitoring and analyzing events in Microsoft Sentinel.,,,,,,,,Signpost,2026-06-08
Veeam Backup & Replication,Detections for monitoring and analyzing events of Veeam Backup & Replication,,,,,,,,Signpost,2026-03-31
Windows Security Events,Detections for monitoring security events in Windows environments.,,,,,,,,Signpost,2026-07-02
Zyxel,Detections for monitoring events and statuses of Zyxel devices.,,,,,,,,Signpost,2026-05-07
ADCS-001 - Cert Authority archived a key,"The rule detects if key is archived. This event is monitored to detect anomalous and malicious activity, and to prevent privilege abuse. Verify that approvment is a valid operation.",Low,PT10M,PT10M,Watchlist (CertAuthorities).,adcs69bb-bb08-1001-2023-dkjz81mk1088,Custom,,ADCS,
ADCS-002 - Cert Authority audit filter changed,The rule identifies if the audit filter for Certificate Services changed. May indicate an attacker disabling monitoring in an attempt to cover their tracks prior to certificate activities.,High,PT10M,PT10M,Watchlist (CertAuthorities).,adcs26df-bff6-1511-2022-d99090mk1088,Custom,,ADCS,
